Element,Data type,MinLength,MaxLength,Description,Example,Example in JSON,,,,Create file,Add description,Add specifications,Add example,Closing tag
ClientInfo,Array of elements,N/A,N/A,Contains all the sub-elements that define a client in the system.,,"""ClientInfo"": {
	""ClientType"": ""NOT DESCRIBED"",
	""Dba"": ""TrxServices"",
	""Url"": ""www.trxservices.com"",
	""Address"": ""123 Any Street"",
	""Address2"": ""Building B, apartment 45"",
	""City"": ""Any City"",
	""Region"": ""NY"",
	""Postal"": ""12345"",
	""Country"": ""USA"",
	""Phone"": ""212-555-1212"",
	""Fax"": ""NOT DESCRIBED"",
	""Email"": ""user@trxservices.com"",
	""TimeZone"": ""CT"",
	""Theme"": ""NOT DESCRIBED"",
	""Gateway"": ""NOT DESCRIBED"",
	""Seasonal"": ""NOT DESCRIBED"",
	""PayFacClient"": ""NOT DESCRIBED"",
	""PersonalBusinessBankruptcy"": ""NOT DESCRIBED"",
	""OutstandingJudgements"": ""NOT DESCRIBED""
	}",,,,"New-Item -Path . -Name ""ClientInfo.md"" -ItemType ""file"" -Value ""# ClientInfo"";Add-Content -Path "".\ClientInfo.md"" -Value ""`n""","Add-Content -Path "".\ClientInfo.md"" @""
Contains all the sub-elements that define a client in the system.
""@","Add-Content -Path "".\ClientInfo.md"" -Value ""`n"";Add-Content -Path "".\ClientInfo.md"" -Value ""## Specifications"";Add-Content -Path "".\ClientInfo.md"" -Value ""`n"";Add-Content -Path "".\ClientInfo.md"" -Value ""* Data type: Array of elements"";Add-Content -Path "".\ClientInfo.md"" -Value ""`n"";Add-Content -Path "".\ClientInfo.md"" -Value ""## Example"";Add-Content -Path "".\ClientInfo.md"" -Value ""`n"";Add-Content -Path "".\ClientInfo.md"" -Value ""`````` json""","Add-Content -Path "".\ClientInfo.md"" @""
""ClientInfo"": {
	""ClientType"": ""NOT DESCRIBED"",
	""Dba"": ""TrxServices"",
	""Url"": ""www.trxservices.com"",
	""Address"": ""123 Any Street"",
	""Address2"": ""Building B, apartment 45"",
	""City"": ""Any City"",
	""Region"": ""NY"",
	""Postal"": ""12345"",
	""Country"": ""USA"",
	""Phone"": ""212-555-1212"",
	""Fax"": ""NOT DESCRIBED"",
	""Email"": ""user@trxservices.com"",
	""TimeZone"": ""CT"",
	""Theme"": ""NOT DESCRIBED"",
	""Gateway"": ""NOT DESCRIBED"",
	""Seasonal"": ""NOT DESCRIBED"",
	""PayFacClient"": ""NOT DESCRIBED"",
	""PersonalBusinessBankruptcy"": ""NOT DESCRIBED"",
	""OutstandingJudgements"": ""NOT DESCRIBED""
	}
""@","Add-Content -Path "".\ClientInfo.md"" -Value ""``````"""
CloseMethod,Alpha,1,6,"The method for closing open batches in the system.

The value of Batch indicates that the merchant closes batches.
The value of Host indicates that the host closes batches.
The value of Hybrid indicates that the host closes batches which the merchant didn't close during 48 hours.",<CloseMethod>Host</CloseMethod>,"{
  ""CloseMethod"": ""Host""
}",,,,"New-Item -Path . -Name ""CloseMethod.md"" -ItemType ""file"" -Value ""# CloseMethod"";Add-Content -Path "".\CloseMethod.md"" -Value ""`n""","Add-Content -Path "".\CloseMethod.md"" @""
The method for closing open batches in the system.

The value of Batch indicates that the merchant closes batches.
The value of Host indicates that the host closes batches.
The value of Hybrid indicates that the host closes batches which the merchant didn't close during 48 hours.
""@","Add-Content -Path "".\CloseMethod.md"" -Value ""`n"";Add-Content -Path "".\CloseMethod.md"" -Value ""## Specifications"";Add-Content -Path "".\CloseMethod.md"" -Value ""`n"";Add-Content -Path "".\CloseMethod.md"" -Value ""* Data type: Alpha"";Add-Content -Path "".\CloseMethod.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\CloseMethod.md"" -Value ""* Maximal length: 6"";Add-Content -Path "".\CloseMethod.md"" -Value ""`n"";Add-Content -Path "".\CloseMethod.md"" -Value ""## Example"";Add-Content -Path "".\CloseMethod.md"" -Value ""`n"";Add-Content -Path "".\CloseMethod.md"" -Value ""`````` json""","Add-Content -Path "".\CloseMethod.md"" @""
{
  ""CloseMethod"": ""Host""
}
""@","Add-Content -Path "".\CloseMethod.md"" -Value ""``````"""
CloseTime,Alphanumeric,5,5,"The time when the system closes batches where the CloseMethod is set to Host. Use the 24-hour time format. Optionally, add a 15-minute increment. ",<CloseTime>16:15</CloseTime>,"{
  ""CloseTime"": ""16:15""
}",,,,"New-Item -Path . -Name ""CloseTime.md"" -ItemType ""file"" -Value ""# CloseTime"";Add-Content -Path "".\CloseTime.md"" -Value ""`n""","Add-Content -Path "".\CloseTime.md"" @""
The time when the system closes batches where the CloseMethod is set to Host. Use the 24-hour time format. Optionally, add a 15-minute increment. 
""@","Add-Content -Path "".\CloseTime.md"" -Value ""`n"";Add-Content -Path "".\CloseTime.md"" -Value ""## Specifications"";Add-Content -Path "".\CloseTime.md"" -Value ""`n"";Add-Content -Path "".\CloseTime.md"" -Value ""* Data type: Alphanumeric"";Add-Content -Path "".\CloseTime.md"" -Value ""* Minimal length: 5"";Add-Content -Path "".\CloseTime.md"" -Value ""* Maximal length: 5"";Add-Content -Path "".\CloseTime.md"" -Value ""`n"";Add-Content -Path "".\CloseTime.md"" -Value ""## Example"";Add-Content -Path "".\CloseTime.md"" -Value ""`n"";Add-Content -Path "".\CloseTime.md"" -Value ""`````` json""","Add-Content -Path "".\CloseTime.md"" @""
{
  ""CloseTime"": ""16:15""
}
""@","Add-Content -Path "".\CloseTime.md"" -Value ""``````"""
Consumer,Array of elements,N/A,N/A,Contains all the sub-elements used to define a consumer in the system.,,,,,,"New-Item -Path . -Name ""Consumer.md"" -ItemType ""file"" -Value ""# Consumer"";Add-Content -Path "".\Consumer.md"" -Value ""`n""","Add-Content -Path "".\Consumer.md"" @""
Contains all the sub-elements used to define a consumer in the system.
""@","Add-Content -Path "".\Consumer.md"" -Value ""`n"";Add-Content -Path "".\Consumer.md"" -Value ""## Specifications"";Add-Content -Path "".\Consumer.md"" -Value ""`n"";Add-Content -Path "".\Consumer.md"" -Value ""* Data type: Array of elements"";Add-Content -Path "".\Consumer.md"" -Value ""`n"";Add-Content -Path "".\Consumer.md"" -Value ""## Example"";Add-Content -Path "".\Consumer.md"" -Value ""`n"";Add-Content -Path "".\Consumer.md"" -Value ""`````` json""","Add-Content -Path "".\Consumer.md"" @""

""@","Add-Content -Path "".\Consumer.md"" -Value ""``````"""
ContactOrder,Numeric,1,2,The order in which the Transaction Services contact this user.,<ContactOrder>1</ContactOrder>,"{
  ""ContactOrder"": ""1""
}",,,,"New-Item -Path . -Name ""ContactOrder.md"" -ItemType ""file"" -Value ""# ContactOrder"";Add-Content -Path "".\ContactOrder.md"" -Value ""`n""","Add-Content -Path "".\ContactOrder.md"" @""
The order in which the Transaction Services contact this user.
""@","Add-Content -Path "".\ContactOrder.md"" -Value ""`n"";Add-Content -Path "".\ContactOrder.md"" -Value ""## Specifications"";Add-Content -Path "".\ContactOrder.md"" -Value ""`n"";Add-Content -Path "".\ContactOrder.md"" -Value ""* Data type: Numeric"";Add-Content -Path "".\ContactOrder.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\ContactOrder.md"" -Value ""* Maximal length: 2"";Add-Content -Path "".\ContactOrder.md"" -Value ""`n"";Add-Content -Path "".\ContactOrder.md"" -Value ""## Example"";Add-Content -Path "".\ContactOrder.md"" -Value ""`n"";Add-Content -Path "".\ContactOrder.md"" -Value ""`````` json""","Add-Content -Path "".\ContactOrder.md"" @""
{
  ""ContactOrder"": ""1""
}
""@","Add-Content -Path "".\ContactOrder.md"" -Value ""``````"""
Content,Array of elements,N/A,N/A,Contains information about the purchase.,,"""Content"": [
        {
          ""LocalTaxAmount"": 0
        }
      ]",,,,"New-Item -Path . -Name ""Content.md"" -ItemType ""file"" -Value ""# Content"";Add-Content -Path "".\Content.md"" -Value ""`n""","Add-Content -Path "".\Content.md"" @""
Contains information about the purchase.
""@","Add-Content -Path "".\Content.md"" -Value ""`n"";Add-Content -Path "".\Content.md"" -Value ""## Specifications"";Add-Content -Path "".\Content.md"" -Value ""`n"";Add-Content -Path "".\Content.md"" -Value ""* Data type: Array of elements"";Add-Content -Path "".\Content.md"" -Value ""`n"";Add-Content -Path "".\Content.md"" -Value ""## Example"";Add-Content -Path "".\Content.md"" -Value ""`n"";Add-Content -Path "".\Content.md"" -Value ""`````` json""","Add-Content -Path "".\Content.md"" @""
""Content"": [
        {
          ""LocalTaxAmount"": 0
        }
      ]
""@","Add-Content -Path "".\Content.md"" -Value ""``````"""
Country,Alphanumeric,3,3,"The country for a user, consumer, or shipping record. The value of this element is a three-letter code according to ISO 3166-1 alpha-3. For a full list of codes, see https://en.wikipedia.org/wiki/ISO_3166-1_alpha-3.",<Country>USA</Country>,"{
  ""Country"": ""USA""
}",,,,"New-Item -Path . -Name ""Country.md"" -ItemType ""file"" -Value ""# Country"";Add-Content -Path "".\Country.md"" -Value ""`n""","Add-Content -Path "".\Country.md"" @""
The country for a user, consumer, or shipping record. The value of this element is a three-letter code according to ISO 3166-1 alpha-3. For a full list of codes, see https://en.wikipedia.org/wiki/ISO_3166-1_alpha-3.
""@","Add-Content -Path "".\Country.md"" -Value ""`n"";Add-Content -Path "".\Country.md"" -Value ""## Specifications"";Add-Content -Path "".\Country.md"" -Value ""`n"";Add-Content -Path "".\Country.md"" -Value ""* Data type: Alphanumeric"";Add-Content -Path "".\Country.md"" -Value ""* Minimal length: 3"";Add-Content -Path "".\Country.md"" -Value ""* Maximal length: 3"";Add-Content -Path "".\Country.md"" -Value ""`n"";Add-Content -Path "".\Country.md"" -Value ""## Example"";Add-Content -Path "".\Country.md"" -Value ""`n"";Add-Content -Path "".\Country.md"" -Value ""`````` json""","Add-Content -Path "".\Country.md"" @""
{
  ""Country"": ""USA""
}
""@","Add-Content -Path "".\Country.md"" -Value ""``````"""
CreditAmount,Currency,3,12,The total amount for all credit transactions within a batch.,<CreditAmount>1856.26</CreditAmount>,"{
  ""CreditAmount"": ""1856.26""
}",,,,"New-Item -Path . -Name ""CreditAmount.md"" -ItemType ""file"" -Value ""# CreditAmount"";Add-Content -Path "".\CreditAmount.md"" -Value ""`n""","Add-Content -Path "".\CreditAmount.md"" @""
The total amount for all credit transactions within a batch.
""@","Add-Content -Path "".\CreditAmount.md"" -Value ""`n"";Add-Content -Path "".\CreditAmount.md"" -Value ""## Specifications"";Add-Content -Path "".\CreditAmount.md"" -Value ""`n"";Add-Content -Path "".\CreditAmount.md"" -Value ""* Data type: Currency"";Add-Content -Path "".\CreditAmount.md"" -Value ""* Minimal length: 3"";Add-Content -Path "".\CreditAmount.md"" -Value ""* Maximal length: 12"";Add-Content -Path "".\CreditAmount.md"" -Value ""`n"";Add-Content -Path "".\CreditAmount.md"" -Value ""## Example"";Add-Content -Path "".\CreditAmount.md"" -Value ""`n"";Add-Content -Path "".\CreditAmount.md"" -Value ""`````` json""","Add-Content -Path "".\CreditAmount.md"" @""
{
  ""CreditAmount"": ""1856.26""
}
""@","Add-Content -Path "".\CreditAmount.md"" -Value ""``````"""
CreditCount,Numeric,1,6,The total number of credit transactions within a batch.,<CreditCount>754</CreditCount>,"{
  ""CreditCount"": ""754""
}",,,,"New-Item -Path . -Name ""CreditCount.md"" -ItemType ""file"" -Value ""# CreditCount"";Add-Content -Path "".\CreditCount.md"" -Value ""`n""","Add-Content -Path "".\CreditCount.md"" @""
The total number of credit transactions within a batch.
""@","Add-Content -Path "".\CreditCount.md"" -Value ""`n"";Add-Content -Path "".\CreditCount.md"" -Value ""## Specifications"";Add-Content -Path "".\CreditCount.md"" -Value ""`n"";Add-Content -Path "".\CreditCount.md"" -Value ""* Data type: Numeric"";Add-Content -Path "".\CreditCount.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\CreditCount.md"" -Value ""* Maximal length: 6"";Add-Content -Path "".\CreditCount.md"" -Value ""`n"";Add-Content -Path "".\CreditCount.md"" -Value ""## Example"";Add-Content -Path "".\CreditCount.md"" -Value ""`n"";Add-Content -Path "".\CreditCount.md"" -Value ""`````` json""","Add-Content -Path "".\CreditCount.md"" @""
{
  ""CreditCount"": ""754""
}
""@","Add-Content -Path "".\CreditCount.md"" -Value ""``````"""
CurrencyCode,Integer,3,3,"The three-letter ISO code of the currency that the Transaction Services uses to process the transaction. Currently, the Transaction Services system supports only the 840 currency code, which stands for US dollars.",<CurrencyCode>840</CurrencyCode>,"{
  ""CurrencyCode"": ""840""
}",,,,"New-Item -Path . -Name ""CurrencyCode.md"" -ItemType ""file"" -Value ""# CurrencyCode"";Add-Content -Path "".\CurrencyCode.md"" -Value ""`n""","Add-Content -Path "".\CurrencyCode.md"" @""
The three-letter ISO code of the currency that the Transaction Services uses to process the transaction. Currently, the Transaction Services system supports only the 840 currency code, which stands for US dollars.
""@","Add-Content -Path "".\CurrencyCode.md"" -Value ""`n"";Add-Content -Path "".\CurrencyCode.md"" -Value ""## Specifications"";Add-Content -Path "".\CurrencyCode.md"" -Value ""`n"";Add-Content -Path "".\CurrencyCode.md"" -Value ""* Data type: Integer"";Add-Content -Path "".\CurrencyCode.md"" -Value ""* Minimal length: 3"";Add-Content -Path "".\CurrencyCode.md"" -Value ""* Maximal length: 3"";Add-Content -Path "".\CurrencyCode.md"" -Value ""`n"";Add-Content -Path "".\CurrencyCode.md"" -Value ""## Example"";Add-Content -Path "".\CurrencyCode.md"" -Value ""`n"";Add-Content -Path "".\CurrencyCode.md"" -Value ""`````` json""","Add-Content -Path "".\CurrencyCode.md"" @""
{
  ""CurrencyCode"": ""840""
}
""@","Add-Content -Path "".\CurrencyCode.md"" -Value ""``````"""
Cvv,Numeric,3,4,"The card verification value (CVV), which the Transaction Services system uses as an additional security feature for CNP transactions. The CVV is printed (not embossed) on the card and is not encoded on the magnetic strip. The system authenticates this value during a credit card authorization. The value is 3 digits for Visa and MasterCard and 4 digits for American Express. According to the regulations, you can't store this data.",<Cvv>123</Cvv>,"{
  ""Cvv"": ""123""
}",,,,"New-Item -Path . -Name ""Cvv.md"" -ItemType ""file"" -Value ""# Cvv"";Add-Content -Path "".\Cvv.md"" -Value ""`n""","Add-Content -Path "".\Cvv.md"" @""
The card verification value (CVV), which the Transaction Services system uses as an additional security feature for CNP transactions. The CVV is printed (not embossed) on the card and is not encoded on the magnetic strip. The system authenticates this value during a credit card authorization. The value is 3 digits for Visa and MasterCard and 4 digits for American Express. According to the regulations, you can't store this data.
""@","Add-Content -Path "".\Cvv.md"" -Value ""`n"";Add-Content -Path "".\Cvv.md"" -Value ""## Specifications"";Add-Content -Path "".\Cvv.md"" -Value ""`n"";Add-Content -Path "".\Cvv.md"" -Value ""* Data type: Numeric"";Add-Content -Path "".\Cvv.md"" -Value ""* Minimal length: 3"";Add-Content -Path "".\Cvv.md"" -Value ""* Maximal length: 4"";Add-Content -Path "".\Cvv.md"" -Value ""`n"";Add-Content -Path "".\Cvv.md"" -Value ""## Example"";Add-Content -Path "".\Cvv.md"" -Value ""`n"";Add-Content -Path "".\Cvv.md"" -Value ""`````` json""","Add-Content -Path "".\Cvv.md"" @""
{
  ""Cvv"": ""123""
}
""@","Add-Content -Path "".\Cvv.md"" -Value ""``````"""
CvvResult,Alphanumeric,1,1,"The result of a card verification value check. The system uses Visa codes as the base and maps them accordingly as needed.

The value of M indicates that the card verification value matches.
The value of N indicates that the card verification value doesn't match.
The value of P indicates that the card verification value check wasn't processed.
The value of S indicates that the merchant confirms that the verification code is not present on the card.
The value of U indicates that the card issuer is not certified or has not provided the Visa encryption keys.",<CvvResult>M</CvvResult>,"{
  ""CvvResult"": ""M""
}",,,,"New-Item -Path . -Name ""CvvResult.md"" -ItemType ""file"" -Value ""# CvvResult"";Add-Content -Path "".\CvvResult.md"" -Value ""`n""","Add-Content -Path "".\CvvResult.md"" @""
The result of a card verification value check. The system uses Visa codes as the base and maps them accordingly as needed.

The value of M indicates that the card verification value matches.
The value of N indicates that the card verification value doesn't match.
The value of P indicates that the card verification value check wasn't processed.
The value of S indicates that the merchant confirms that the verification code is not present on the card.
The value of U indicates that the card issuer is not certified or has not provided the Visa encryption keys.
""@","Add-Content -Path "".\CvvResult.md"" -Value ""`n"";Add-Content -Path "".\CvvResult.md"" -Value ""## Specifications"";Add-Content -Path "".\CvvResult.md"" -Value ""`n"";Add-Content -Path "".\CvvResult.md"" -Value ""* Data type: Alphanumeric"";Add-Content -Path "".\CvvResult.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\CvvResult.md"" -Value ""* Maximal length: 1"";Add-Content -Path "".\CvvResult.md"" -Value ""`n"";Add-Content -Path "".\CvvResult.md"" -Value ""## Example"";Add-Content -Path "".\CvvResult.md"" -Value ""`n"";Add-Content -Path "".\CvvResult.md"" -Value ""`````` json""","Add-Content -Path "".\CvvResult.md"" @""
{
  ""CvvResult"": ""M""
}
""@","Add-Content -Path "".\CvvResult.md"" -Value ""``````"""
DailyRate,Numeric,,,The daily rate in a hotel. You can use this element when the Industry is set to Hotel.,,,,,,"New-Item -Path . -Name ""DailyRate.md"" -ItemType ""file"" -Value ""# DailyRate"";Add-Content -Path "".\DailyRate.md"" -Value ""`n""","Add-Content -Path "".\DailyRate.md"" @""
The daily rate in a hotel. You can use this element when the Industry is set to Hotel.
""@","Add-Content -Path "".\DailyRate.md"" -Value ""`n"";Add-Content -Path "".\DailyRate.md"" -Value ""## Specifications"";Add-Content -Path "".\DailyRate.md"" -Value ""`n"";Add-Content -Path "".\DailyRate.md"" -Value ""* Data type: Numeric"";Add-Content -Path "".\DailyRate.md"" -Value ""* Minimal length: "";Add-Content -Path "".\DailyRate.md"" -Value ""* Maximal length: "";Add-Content -Path "".\DailyRate.md"" -Value ""`n"";Add-Content -Path "".\DailyRate.md"" -Value ""## Example"";Add-Content -Path "".\DailyRate.md"" -Value ""`n"";Add-Content -Path "".\DailyRate.md"" -Value ""`````` json""","Add-Content -Path "".\DailyRate.md"" @""

""@","Add-Content -Path "".\DailyRate.md"" -Value ""``````"""
Data,String,,32,"The data of the Signature element. 

To improve the security of transactions, use the signature element. The administrator of the merchant account can create the client-specific source and register an optional Salt element for each source.

If the Signature attribute is turned on, then the system adds the Salt element to the end of the complete Message value for each unique request.

Next, the system generates an MD5 hash from the complete value. If you use message-level encryption, the system encrypts the Request section of the message before adding the signature.

This element is alphanumeric with a maximum length of 32 characters. For more information, see Salt.",,,,,,"New-Item -Path . -Name ""Data.md"" -ItemType ""file"" -Value ""# Data"";Add-Content -Path "".\Data.md"" -Value ""`n""","Add-Content -Path "".\Data.md"" @""
The data of the Signature element. 

To improve the security of transactions, use the signature element. The administrator of the merchant account can create the client-specific source and register an optional Salt element for each source.

If the Signature attribute is turned on, then the system adds the Salt element to the end of the complete Message value for each unique request.

Next, the system generates an MD5 hash from the complete value. If you use message-level encryption, the system encrypts the Request section of the message before adding the signature.

This element is alphanumeric with a maximum length of 32 characters. For more information, see Salt.
""@","Add-Content -Path "".\Data.md"" -Value ""`n"";Add-Content -Path "".\Data.md"" -Value ""## Specifications"";Add-Content -Path "".\Data.md"" -Value ""`n"";Add-Content -Path "".\Data.md"" -Value ""* Data type: String"";Add-Content -Path "".\Data.md"" -Value ""* Minimal length: "";Add-Content -Path "".\Data.md"" -Value ""* Maximal length: 32"";Add-Content -Path "".\Data.md"" -Value ""`n"";Add-Content -Path "".\Data.md"" -Value ""## Example"";Add-Content -Path "".\Data.md"" -Value ""`n"";Add-Content -Path "".\Data.md"" -Value ""`````` json""","Add-Content -Path "".\Data.md"" @""

""@","Add-Content -Path "".\Data.md"" -Value ""``````"""
DataReadMethod,String,,,"?????????

Possible values are 1 and 2. ",,,,,,"New-Item -Path . -Name ""DataReadMethod.md"" -ItemType ""file"" -Value ""# DataReadMethod"";Add-Content -Path "".\DataReadMethod.md"" -Value ""`n""","Add-Content -Path "".\DataReadMethod.md"" @""
?????????

Possible values are 1 and 2. 
""@","Add-Content -Path "".\DataReadMethod.md"" -Value ""`n"";Add-Content -Path "".\DataReadMethod.md"" -Value ""## Specifications"";Add-Content -Path "".\DataReadMethod.md"" -Value ""`n"";Add-Content -Path "".\DataReadMethod.md"" -Value ""* Data type: String"";Add-Content -Path "".\DataReadMethod.md"" -Value ""* Minimal length: "";Add-Content -Path "".\DataReadMethod.md"" -Value ""* Maximal length: "";Add-Content -Path "".\DataReadMethod.md"" -Value ""`n"";Add-Content -Path "".\DataReadMethod.md"" -Value ""## Example"";Add-Content -Path "".\DataReadMethod.md"" -Value ""`n"";Add-Content -Path "".\DataReadMethod.md"" -Value ""`````` json""","Add-Content -Path "".\DataReadMethod.md"" @""

""@","Add-Content -Path "".\DataReadMethod.md"" -Value ""``````"""
Dba,Alphanumeric,1,30,The doing business as (DBA) name for the client or business.,<Dba>TrxServices</Dba>,"{
  ""Dba"": ""TrxServices""
}",,,,"New-Item -Path . -Name ""Dba.md"" -ItemType ""file"" -Value ""# Dba"";Add-Content -Path "".\Dba.md"" -Value ""`n""","Add-Content -Path "".\Dba.md"" @""
The doing business as (DBA) name for the client or business.
""@","Add-Content -Path "".\Dba.md"" -Value ""`n"";Add-Content -Path "".\Dba.md"" -Value ""## Specifications"";Add-Content -Path "".\Dba.md"" -Value ""`n"";Add-Content -Path "".\Dba.md"" -Value ""* Data type: Alphanumeric"";Add-Content -Path "".\Dba.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\Dba.md"" -Value ""* Maximal length: 30"";Add-Content -Path "".\Dba.md"" -Value ""`n"";Add-Content -Path "".\Dba.md"" -Value ""## Example"";Add-Content -Path "".\Dba.md"" -Value ""`n"";Add-Content -Path "".\Dba.md"" -Value ""`````` json""","Add-Content -Path "".\Dba.md"" @""
{
  ""Dba"": ""TrxServices""
}
""@","Add-Content -Path "".\Dba.md"" -Value ""``````"""
Dda,Numeric,1,15,The consumer’s account number within the financial banking system.,<Dda>123123000012352</Dda>,"{
  ""Dda"": ""123123000012352""
}",,,,"New-Item -Path . -Name ""Dda.md"" -ItemType ""file"" -Value ""# Dda"";Add-Content -Path "".\Dda.md"" -Value ""`n""","Add-Content -Path "".\Dda.md"" @""
The consumer’s account number within the financial banking system.
""@","Add-Content -Path "".\Dda.md"" -Value ""`n"";Add-Content -Path "".\Dda.md"" -Value ""## Specifications"";Add-Content -Path "".\Dda.md"" -Value ""`n"";Add-Content -Path "".\Dda.md"" -Value ""* Data type: Numeric"";Add-Content -Path "".\Dda.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\Dda.md"" -Value ""* Maximal length: 15"";Add-Content -Path "".\Dda.md"" -Value ""`n"";Add-Content -Path "".\Dda.md"" -Value ""## Example"";Add-Content -Path "".\Dda.md"" -Value ""`n"";Add-Content -Path "".\Dda.md"" -Value ""`````` json""","Add-Content -Path "".\Dda.md"" @""
{
  ""Dda"": ""123123000012352""
}
""@","Add-Content -Path "".\Dda.md"" -Value ""``````"""
DebitAmount,Currency,3,12,The total amount for all debit transactions within a batch.,<DebitAmount>452.98</DebitAmount>,"{
  ""DebitAmount"": ""452.98""
}",,,,"New-Item -Path . -Name ""DebitAmount.md"" -ItemType ""file"" -Value ""# DebitAmount"";Add-Content -Path "".\DebitAmount.md"" -Value ""`n""","Add-Content -Path "".\DebitAmount.md"" @""
The total amount for all debit transactions within a batch.
""@","Add-Content -Path "".\DebitAmount.md"" -Value ""`n"";Add-Content -Path "".\DebitAmount.md"" -Value ""## Specifications"";Add-Content -Path "".\DebitAmount.md"" -Value ""`n"";Add-Content -Path "".\DebitAmount.md"" -Value ""* Data type: Currency"";Add-Content -Path "".\DebitAmount.md"" -Value ""* Minimal length: 3"";Add-Content -Path "".\DebitAmount.md"" -Value ""* Maximal length: 12"";Add-Content -Path "".\DebitAmount.md"" -Value ""`n"";Add-Content -Path "".\DebitAmount.md"" -Value ""## Example"";Add-Content -Path "".\DebitAmount.md"" -Value ""`n"";Add-Content -Path "".\DebitAmount.md"" -Value ""`````` json""","Add-Content -Path "".\DebitAmount.md"" @""
{
  ""DebitAmount"": ""452.98""
}
""@","Add-Content -Path "".\DebitAmount.md"" -Value ""``````"""
DebitCount,Numeric,1,6,The total number of debit transactions within a batch.,<DebitCount>18</DebitCount>,"{
  ""DebitCount"": ""18""
}",,,,"New-Item -Path . -Name ""DebitCount.md"" -ItemType ""file"" -Value ""# DebitCount"";Add-Content -Path "".\DebitCount.md"" -Value ""`n""","Add-Content -Path "".\DebitCount.md"" @""
The total number of debit transactions within a batch.
""@","Add-Content -Path "".\DebitCount.md"" -Value ""`n"";Add-Content -Path "".\DebitCount.md"" -Value ""## Specifications"";Add-Content -Path "".\DebitCount.md"" -Value ""`n"";Add-Content -Path "".\DebitCount.md"" -Value ""* Data type: Numeric"";Add-Content -Path "".\DebitCount.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\DebitCount.md"" -Value ""* Maximal length: 6"";Add-Content -Path "".\DebitCount.md"" -Value ""`n"";Add-Content -Path "".\DebitCount.md"" -Value ""## Example"";Add-Content -Path "".\DebitCount.md"" -Value ""`n"";Add-Content -Path "".\DebitCount.md"" -Value ""`````` json""","Add-Content -Path "".\DebitCount.md"" @""
{
  ""DebitCount"": ""18""
}
""@","Add-Content -Path "".\DebitCount.md"" -Value ""``````"""
DebtPayment,Boolean,1,1,An indicator of the debt payment.,,"{
  ""DebtPayment"": ""1""
}",,,,"New-Item -Path . -Name ""DebtPayment.md"" -ItemType ""file"" -Value ""# DebtPayment"";Add-Content -Path "".\DebtPayment.md"" -Value ""`n""","Add-Content -Path "".\DebtPayment.md"" @""
An indicator of the debt payment.
""@","Add-Content -Path "".\DebtPayment.md"" -Value ""`n"";Add-Content -Path "".\DebtPayment.md"" -Value ""## Specifications"";Add-Content -Path "".\DebtPayment.md"" -Value ""`n"";Add-Content -Path "".\DebtPayment.md"" -Value ""* Data type: Boolean"";Add-Content -Path "".\DebtPayment.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\DebtPayment.md"" -Value ""* Maximal length: 1"";Add-Content -Path "".\DebtPayment.md"" -Value ""`n"";Add-Content -Path "".\DebtPayment.md"" -Value ""## Example"";Add-Content -Path "".\DebtPayment.md"" -Value ""`n"";Add-Content -Path "".\DebtPayment.md"" -Value ""`````` json""","Add-Content -Path "".\DebtPayment.md"" @""
{
  ""DebtPayment"": ""1""
}
""@","Add-Content -Path "".\DebtPayment.md"" -Value ""``````"""
